service_type,department,division,position_number,job_title,total_pay,city,state
General Government,Executive,Leadership,O003-701,City Manager,310500,Cambridge,MA
General Government,Executive,Leadership,O022-701,Deputy City Manager,284625,Cambridge,MA
Public Safety,Police,Commissioner's Office,M479-701,Police Commissioner,275738,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00004723,Superintendent of Schools,266500,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,O501-001,Fire Chief,259037,Cambridge,MA
General Government,Finance,Administration,O006-701,Asst City Mngr/Fiscal,236225,Cambridge,MA
Community Maintenance and Development,Community Development,Administration,O020-701,Asst City Mngr/Comm Devel,236225,Cambridge,MA
Human Resource Development,Human Services,"Leadership, Operations & IT",O011-701,Asst City Mngr/Human Serv,236225,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00004449,Deputy Supt/Chief of Academics,232536,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00005160,Deputy Supt/Chief of Academics,232536,Cambridge,MA
General Government,Human Resources,Administration,M922-001,Chief People Officer,227699,Cambridge,MA
Community Maintenance and Development,Public Works,Planning & Administration,O005-701,Commissioner/Public Works,226079,Cambridge,MA
General Government,Law,Administration,O010-701,City Solicitor,223841,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,M520-002,Admin Officer Support Srv/Fire,222850,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,M522-001,Admin Officer Operations/Fire,220176,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00007217,Chief Financial Officer,219215,Cambridge,MA
Community Maintenance and Development,Capital Building Projects,Administration,M631-001,Director,218588,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,M036-701,Dir/Emerg Comm,218588,Cambridge,MA
Public Safety,Police,Family and Social Justice,M274-701,Dir. of Clinical Support Srvc,216399,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00004452,Chief Operating Officer,214452,Cambridge,MA
General Government,Executive,Leadership,M555-001,Chief of Strategy and Implementation,207000,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00000084,Chief Talent Officer,204768,Cambridge,MA
Public Safety,Police,Administration,M492-701,Superintendent/Police,194589,Cambridge,MA
