employer_name,city,state,job_title,soc_code,occupation,estimated_headcount,salary_min,salary_median,salary_max,salary_confidence,location_confidence,overall_confidence,industry,size_class,record_type,source
"[Agriculture, forestry, fishing] <5 employees",Boston,MA,Farm Workers,45-2092,farm_workers,44,28000,35000,48000,0.85,0.5,0.102,agriculture,<5 employees,cbp_synthetic,census_cbp_2023:11
"[Agriculture, forestry, fishing] <5 employees",Cambridge,MA,Farm Workers,45-2092,farm_workers,14,28000,35000,48000,0.85,0.5,0.102,agriculture,<5 employees,cbp_synthetic,census_cbp_2023:11
"[Agriculture, forestry, fishing] <5 employees",Worcester,MA,Farm Workers,45-2092,farm_workers,10,28000,35000,48000,0.85,0.5,0.102,agriculture,<5 employees,cbp_synthetic,census_cbp_2023:11
"[Agriculture, forestry, fishing] <5 employees",Springfield,MA,Farm Workers,45-2092,farm_workers,8,28000,35000,48000,0.85,0.5,0.102,agriculture,<5 employees,cbp_synthetic,census_cbp_2023:11
"[Agriculture, forestry, fishing] <5 employees",Lowell,MA,Farm Workers,45-2092,farm_workers,7,28000,35000,48000,0.85,0.5,0.102,agriculture,<5 employees,cbp_synthetic,census_cbp_2023:11
"[Agriculture, forestry, fishing] <5 employees",Quincy,MA,Farm Workers,45-2092,farm_workers,5,28000,35000,48000,0.85,0.5,0.102,agriculture,<5 employees,cbp_synthetic,census_cbp_2023:11
"[Agriculture, forestry, fishing] <5 employees",Newton,MA,Farm Workers,45-2092,farm_workers,5,28000,35000,48000,0.85,0.5,0.102,agriculture,<5 employees,cbp_synthetic,census_cbp_2023:11
"[Agriculture, forestry, fishing] <5 employees",Somerville,MA,Farm Workers,45-2092,farm_workers,5,28000,35000,48000,0.85,0.5,0.102,agriculture,<5 employees,cbp_synthetic,census_cbp_2023:11
"[Agriculture, forestry, fishing] <5 employees",Brookline,MA,Farm Workers,45-2092,farm_workers,3,28000,35000,48000,0.85,0.5,0.102,agriculture,<5 employees,cbp_synthetic,census_cbp_2023:11
"[Agriculture, forestry, fishing] <5 employees",Framingham,MA,Farm Workers,45-2092,farm_workers,3,28000,35000,48000,0.85,0.5,0.102,agriculture,<5 employees,cbp_synthetic,census_cbp_2023:11
"[Agriculture, forestry, fishing] <5 employees",Waltham,MA,Farm Workers,45-2092,farm_workers,3,28000,35000,48000,0.85,0.5,0.102,agriculture,<5 employees,cbp_synthetic,census_cbp_2023:11
"[Agriculture, forestry, fishing] <5 employees",Malden,MA,Farm Workers,45-2092,farm_workers,3,28000,35000,48000,0.85,0.5,0.102,agriculture,<5 employees,cbp_synthetic,census_cbp_2023:11
"[Agriculture, forestry, fishing] <5 employees",Medford,MA,Farm Workers,45-2092,farm_workers,3,28000,35000,48000,0.85,0.5,0.102,agriculture,<5 employees,cbp_synthetic,census_cbp_2023:11
"[Agriculture, forestry, fishing] <5 employees",Lynn,MA,Farm Workers,45-2092,farm_workers,3,28000,35000,48000,0.85,0.5,0.102,agriculture,<5 employees,cbp_synthetic,census_cbp_2023:11
"[Agriculture, forestry, fishing] <5 employees",Brockton,MA,Farm Workers,45-2092,farm_workers,3,28000,35000,48000,0.85,0.5,0.102,agriculture,<5 employees,cbp_synthetic,census_cbp_2023:11
"[Agriculture, forestry, fishing] <5 employees",Salem,MA,Farm Workers,45-2092,farm_workers,3,28000,35000,48000,0.85,0.5,0.102,agriculture,<5 employees,cbp_synthetic,census_cbp_2023:11
"[Agriculture, forestry, fishing] <5 employees",Other MA,MA,Farm Workers,45-2092,farm_workers,47,28000,35000,48000,0.85,0.5,0.102,agriculture,<5 employees,cbp_synthetic,census_cbp_2023:11
"[Agriculture, forestry, fishing] <5 employees",Boston,MA,Equipment Operators,53-7032,equipment_operators,17,35000,48000,68000,0.85,0.5,0.102,agriculture,<5 employees,cbp_synthetic,census_cbp_2023:11
"[Agriculture, forestry, fishing] <5 employees",Cambridge,MA,Equipment Operators,53-7032,equipment_operators,5,35000,48000,68000,0.85,0.5,0.102,agriculture,<5 employees,cbp_synthetic,census_cbp_2023:11
"[Agriculture, forestry, fishing] <5 employees",Worcester,MA,Equipment Operators,53-7032,equipment_operators,4,35000,48000,68000,0.85,0.5,0.102,agriculture,<5 employees,cbp_synthetic,census_cbp_2023:11
"[Agriculture, forestry, fishing] <5 employees",Springfield,MA,Equipment Operators,53-7032,equipment_operators,3,35000,48000,68000,0.85,0.5,0.102,agriculture,<5 employees,cbp_synthetic,census_cbp_2023:11
"[Agriculture, forestry, fishing] <5 employees",Lowell,MA,Equipment Operators,53-7032,equipment_operators,2,35000,48000,68000,0.85,0.5,0.102,agriculture,<5 employees,cbp_synthetic,census_cbp_2023:11
"[Agriculture, forestry, fishing] <5 employees",Quincy,MA,Equipment Operators,53-7032,equipment_operators,2,35000,48000,68000,0.85,0.5,0.102,agriculture,<5 employees,cbp_synthetic,census_cbp_2023:11
"[Agriculture, forestry, fishing] <5 employees",Newton,MA,Equipment Operators,53-7032,equipment_operators,2,35000,48000,68000,0.85,0.5,0.102,agriculture,<5 employees,cbp_synthetic,census_cbp_2023:11
