employee_name,job_title,occupation_series,pay_grade,department,agency,duty_station,city,state,annual_salary,work_schedule,pay_year,source_id
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_0
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_1
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_2
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_3
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_4
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_5
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_6
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_7
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_8
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_9
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_10
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_11
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_12
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_13
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_14
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_15
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_16
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_17
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_18
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_19
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_20
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_21
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_22
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_23
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_24
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_25
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_26
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_27
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_28
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_29
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_30
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_31
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_32
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_33
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_34
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_35
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_36
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_37
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_38
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_39
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_40
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_41
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_42
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_43
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_44
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_45
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_46
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_47
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_48
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_49
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_50
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_51
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_52
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_53
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_54
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_55
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_56
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_57
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_58
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_59
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_60
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_61
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_62
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_63
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_64
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_65
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_66
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_67
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_68
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_69
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_70
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_71
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_72
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_73
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_74
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_75
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_76
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_77
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_78
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_79
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_80
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_81
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_82
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_83
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_84
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_85
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_86
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_87
Federal Employee,Program Analyst,0343,GS-12,Department of the Air Force,Department of the Air Force,Hanscom AFB,Hanscom AFB,MA,95253.0,Full-Time,2024,fed_0343_Dep_88
