employer_name,city,state,occupation,soc_code,job_title,estimated_headcount,headcount_confidence,salary_min,salary_median,salary_max,salary_confidence,location_confidence,overall_confidence,industry,inference_source,record_type
Mass General Brigham,Boston,MA,registered_nurses,29-1141,Registered Nurses,20000,0.63,59004,98340,146552,0.85,0.9,0.482,healthcare,employer_db:990_filing,inferred_archetype
Mass General Brigham,Boston,MA,physicians,29-1216,Physicians,6400,0.63,151404,252340,366030,0.85,0.9,0.482,healthcare,employer_db:990_filing,inferred_archetype
Mass General Brigham,Boston,MA,medical_technicians,,Medical Technicians,9600,0.63,36552,60920,106778,0.6,0.9,0.34,healthcare,employer_db:990_filing,inferred_archetype
Mass General Brigham,Boston,MA,healthcare_support,,Healthcare Support,12000,0.63,36552,60920,106778,0.6,0.9,0.34,healthcare,employer_db:990_filing,inferred_archetype
Mass General Brigham,Boston,MA,administrative,43-6014,Secretaries and Administrative Assistants,12000,0.63,29352,48920,73276,0.85,0.9,0.482,healthcare,employer_db:990_filing,inferred_archetype
Mass General Brigham,Boston,MA,management,11-1021,General and Operations Managers,4000,0.63,86136,143560,225890,0.85,0.9,0.482,healthcare,employer_db:990_filing,inferred_archetype
Mass General Brigham,Boston,MA,facilities,,Facilities,4000,0.63,36552,60920,106778,0.6,0.9,0.34,healthcare,employer_db:990_filing,inferred_archetype
Mass General Brigham,Boston,MA,other,,Other,12000,0.63,36552,60920,106778,0.6,0.9,0.34,healthcare,employer_db:990_filing,inferred_archetype
Massachusetts General Hospital,Boston,MA,registered_nurses,29-1141,Registered Nurses,6750,0.63,59004,98340,146552,0.85,0.9,0.482,healthcare,employer_db:990_filing,inferred_archetype
Massachusetts General Hospital,Boston,MA,physicians,29-1216,Physicians,2160,0.63,151404,252340,366030,0.85,0.9,0.482,healthcare,employer_db:990_filing,inferred_archetype
Massachusetts General Hospital,Boston,MA,medical_technicians,,Medical Technicians,3240,0.63,36552,60920,106778,0.6,0.9,0.34,healthcare,employer_db:990_filing,inferred_archetype
Massachusetts General Hospital,Boston,MA,healthcare_support,,Healthcare Support,4050,0.63,36552,60920,106778,0.6,0.9,0.34,healthcare,employer_db:990_filing,inferred_archetype
Massachusetts General Hospital,Boston,MA,administrative,43-6014,Secretaries and Administrative Assistants,4050,0.63,29352,48920,73276,0.85,0.9,0.482,healthcare,employer_db:990_filing,inferred_archetype
Massachusetts General Hospital,Boston,MA,management,11-1021,General and Operations Managers,1350,0.63,86136,143560,225890,0.85,0.9,0.482,healthcare,employer_db:990_filing,inferred_archetype
Massachusetts General Hospital,Boston,MA,facilities,,Facilities,1350,0.63,36552,60920,106778,0.6,0.9,0.34,healthcare,employer_db:990_filing,inferred_archetype
Massachusetts General Hospital,Boston,MA,other,,Other,4050,0.63,36552,60920,106778,0.6,0.9,0.34,healthcare,employer_db:990_filing,inferred_archetype
Brigham and Women's Hospital,Boston,MA,registered_nurses,29-1141,Registered Nurses,4500,0.63,59004,98340,146552,0.85,0.9,0.482,healthcare,employer_db:990_filing,inferred_archetype
