employer_name,city,state,occupation,job_title,soc_code,estimated_headcount,salary_min,salary_median,salary_max,salary_confidence,headcount_confidence,location_confidence,overall_confidence,industry,source,record_type
Mass General Brigham,Boston,MA,registered_nurses,Registered Nurses,29-1141,20000,59004,98340,146552,0.85,0.63,0.9,0.482,healthcare,990_filing,inferred_archetype
Mass General Brigham,Boston,MA,physicians,Physicians,29-1216,6400,151404,252340,366030,0.85,0.63,0.9,0.482,healthcare,990_filing,inferred_archetype
Mass General Brigham,Boston,MA,medical_technicians,Medical Technicians,,9600,36552,60920,106778,0.6,0.63,0.9,0.34,healthcare,990_filing,inferred_archetype
Mass General Brigham,Boston,MA,healthcare_support,Healthcare Support,,12000,36552,60920,106778,0.6,0.63,0.9,0.34,healthcare,990_filing,inferred_archetype
Mass General Brigham,Boston,MA,administrative,Secretaries and Administrative Assistants,43-6014,12000,29352,48920,73276,0.85,0.63,0.9,0.482,healthcare,990_filing,inferred_archetype
Mass General Brigham,Boston,MA,management,General and Operations Managers,11-1021,4000,86136,143560,225890,0.85,0.63,0.9,0.482,healthcare,990_filing,inferred_archetype
Mass General Brigham,Boston,MA,facilities,Facilities,,4000,36552,60920,106778,0.6,0.63,0.9,0.34,healthcare,990_filing,inferred_archetype
Mass General Brigham,Boston,MA,other,Other,,12000,36552,60920,106778,0.6,0.63,0.9,0.34,healthcare,990_filing,inferred_archetype
Commonwealth of Massachusetts,Boston,MA,police,Police,,6000,36552,60920,106778,0.6,0.665,0.9,0.359,government,state_payroll,inferred_archetype
Commonwealth of Massachusetts,Boston,MA,fire,Fire,,2500,36552,60920,106778,0.6,0.665,0.9,0.359,government,state_payroll,inferred_archetype
Commonwealth of Massachusetts,Boston,MA,teachers,Elementary School Teachers,25-2021,12500,44736,74560,109676,0.85,0.665,0.9,0.509,government,state_payroll,inferred_archetype
Commonwealth of Massachusetts,Boston,MA,administrative,Secretaries and Administrative Assistants,43-6014,10000,29352,48920,73276,0.85,0.665,0.9,0.509,government,state_payroll,inferred_archetype
Commonwealth of Massachusetts,Boston,MA,social_workers,Social Workers,,4000,36552,60920,106778,0.6,0.665,0.9,0.359,government,state_payroll,inferred_archetype
Commonwealth of Massachusetts,Boston,MA,maintenance,Maintenance,,5000,36552,60920,106778,0.6,0.665,0.9,0.359,government,state_payroll,inferred_archetype
Commonwealth of Massachusetts,Boston,MA,management,General and Operations Managers,11-1021,4000,86136,143560,225890,0.85,0.665,0.9,0.509,government,state_payroll,inferred_archetype
Commonwealth of Massachusetts,Boston,MA,other,Other,,6000,36552,60920,106778,0.6,0.665,0.9,0.359,government,state_payroll,inferred_archetype
Massachusetts General Hospital,Boston,MA,registered_nurses,Registered Nurses,29-1141,6750,59004,98340,146552,0.85,0.63,0.9,0.482,healthcare,990_filing,inferred_archetype
Massachusetts General Hospital,Boston,MA,physicians,Physicians,29-1216,2160,151404,252340,366030,0.85,0.63,0.9,0.482,healthcare,990_filing,inferred_archetype
Massachusetts General Hospital,Boston,MA,medical_technicians,Medical Technicians,,3240,36552,60920,106778,0.6,0.63,0.9,0.34,healthcare,990_filing,inferred_archetype
Massachusetts General Hospital,Boston,MA,healthcare_support,Healthcare Support,,4050,36552,60920,106778,0.6,0.63,0.9,0.34,healthcare,990_filing,inferred_archetype
Massachusetts General Hospital,Boston,MA,administrative,Secretaries and Administrative Assistants,43-6014,4050,29352,48920,73276,0.85,0.63,0.9,0.482,healthcare,990_filing,inferred_archetype
Massachusetts General Hospital,Boston,MA,management,General and Operations Managers,11-1021,1350,86136,143560,225890,0.85,0.63,0.9,0.482,healthcare,990_filing,inferred_archetype
Massachusetts General Hospital,Boston,MA,facilities,Facilities,,1350,36552,60920,106778,0.6,0.63,0.9,0.34,healthcare,990_filing,inferred_archetype
Massachusetts General Hospital,Boston,MA,other,Other,,4050,36552,60920,106778,0.6,0.63,0.9,0.34,healthcare,990_filing,inferred_archetype
Raytheon,Waltham,MA,engineers,Engineers,17-2000,8750,36552,60920,106778,0.85,0.56,0.9,0.428,defense,sec_10k,inferred_archetype
Raytheon,Waltham,MA,scientists,Medical Scientists,19-1042,3750,53604,89340,138264,0.85,0.56,0.9,0.428,defense,sec_10k,inferred_archetype
