industry,record_type,estimated_headcount,overall_confidence
administrative,cbp_synthetic,229117,0.1116
agriculture,cbp_synthetic,902,0.09260769230769231
biotech,inferred_archetype,43390,0.29303703703703704
construction,cbp_synthetic,162007,0.1026
consulting,inferred_archetype,34109,0.25852380952380954
defense,inferred_archetype,43000,0.3538333333333334
entertainment,cbp_synthetic,58510,0.10260000000000001
finance,cbp_synthetic,118604,0.11159999999999999
finance,inferred_archetype,79665,0.32130434782608697
government,inferred_archetype,94700,0.3859166666666667
healthcare,cbp_synthetic,372210,0.1116
healthcare,inferred_archetype,245069,0.2920238095238095
higher_education,cbp_synthetic,149299,0.1116
higher_education,inferred_archetype,79696,0.29308695652173916
hospitality,cbp_synthetic,307092,0.1116
k12_education,inferred_archetype,133,0.2285
management,cbp_synthetic,116332,0.11243863636363637
manufacturing,cbp_synthetic,218419,0.1116
manufacturing,inferred_archetype,14500,0.2879
mining,cbp_synthetic,610,0.092959509202454
other,cbp_synthetic,105195,0.0971175572519084
other,inferred_archetype,14687,0.22849999999999998
professional_services,cbp_synthetic,362169,0.1116
professional_services,inferred_archetype,6300,0.297
real_estate,cbp_synthetic,51301,0.1026
retail,cbp_synthetic,257734,0.1116
retail,inferred_archetype,99000,0.28817857142857145
technology,cbp_synthetic,75368,0.11159999999999999
technology,inferred_archetype,64211,0.266152380952381
transportation,cbp_synthetic,110340,0.1116
utilities,inferred_archetype,13000,0.331
wholesale,cbp_synthetic,152141,0.11159999999999999
